index,category,definition,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
108,food_drink,drink (beverage),0.18,0.21,0.33,0.41,0.46,0.56,0.65,0.71,0.72,0.74,0.82,0.81,0.92,0.86,0.94
109,food_drink,egg,0.11,0.16,0.26,0.35,0.41,0.48,0.57,0.63,0.68,0.74,0.8,0.79,0.91,0.83,0.92
110,food_drink,fish (food),0.15,0.19,0.31,0.39,0.42,0.45,0.56,0.61,0.65,0.68,0.76,0.74,0.87,0.81,0.89
111,food_drink,food,0.07,0.14,0.22,0.29,0.31,0.37,0.48,0.56,0.58,0.61,0.7,0.7,0.83,0.83,0.88
112,food_drink,french fries,0.07,0.11,0.22,0.33,0.33,0.39,0.5,0.57,0.61,0.7,0.8,0.78,0.9,0.81,0.91
113,food_drink,grapes,0.09,0.15,0.28,0.37,0.41,0.44,0.59,0.62,0.69,0.74,0.79,0.83,0.9,0.86,0.95
114,food_drink,green beans,0.03,0.04,0.1,0.11,0.15,0.18,0.23,0.3,0.36,0.41,0.43,0.42,0.59,0.49,0.68
115,food_drink,gum,0.01,0.04,0.08,0.15,0.13,0.16,0.32,0.3,0.34,0.44,0.56,0.54,0.61,0.63,0.69
116,food_drink,hamburger,0.02,0.05,0.11,0.17,0.2,0.27,0.36,0.44,0.47,0.59,0.7,0.72,0.78,0.77,0.83
117,food_drink,ice,0.11,0.12,0.24,0.34,0.36,0.41,0.51,0.59,0.65,0.72,0.7,0.75,0.86,0.81,0.89
118,food_drink,ice cream,0.1,0.14,0.26,0.36,0.4,0.37,0.6,0.65,0.71,0.78,0.87,0.85,0.93,0.9,0.95
119,food_drink,jello,0.02,0.04,0.08,0.1,0.12,0.14,0.18,0.2,0.31,0.35,0.43,0.45,0.6,0.47,0.62
120,food_drink,jelly,0.02,0.02,0.08,0.11,0.14,0.15,0.27,0.3,0.35,0.44,0.46,0.58,0.72,0.59,0.79
121,food_drink,juice,0.44,0.31,0.58,0.68,0.69,0.75,0.82,0.86,0.87,0.86,0.95,0.9,0.97,0.91,0.98
122,food_drink,lollipop,0.01,0.03,0.08,0.12,0.13,0.16,0.24,0.24,0.31,0.44,0.39,0.49,0.62,0.6,0.65
