"Word","Age","Freq","LogFreq"
"cat","16",605,2.78247262416629
"cereal","16",656,2.81756536955978
"chair","16",6,0.845098040014257
"chase","16",104,2.02118929906994
"cheek","16",228,2.35983548233989
"cheerios","16",52,1.72427586960079
"cheese","16",172,2.2380461031288
"child","16",14,1.17609125905568
"church","16",58,1.77085201164214
"clock","16",198,2.29885307640971
"close","16",48,1.69019608002851
"coat","16",46,1.67209785793572
"cockadoodledoo","16",989,2.99563519459755
"coffee","16",143,2.15836249209525
"cold","16",232,2.36735592102602
"comb","16",135,2.13353890837022
"cookie","16",130,2.11727129565576
"couch","16",202,2.30749603791321
"could","16",2,0.477121254719662
"cover","16",8,0.954242509439325
"cow","16",297,2.47421626407626
"cracker","16",68,1.83884909073726
"crib","16",970,2.987219229908
"cry","16",20,1.32221929473392
"cup","16",274,2.43933269383026
"cute","16",1815,3.25911584418507
"daddy","16",43,1.64345267648619
"dance","16",27,1.44715803134222
"dark","16",36,1.56820172406699
"day","16",19,1.30102999566398
"deer","16",261,2.41830129131975
"diaper","16",182,2.26245108973043
"did","16",18,1.27875360095283
"dig","16",6,0.845098040014257
"dinner","16",28,1.46239799789896
"dirty","16",336,2.52762990087134
"dish","16",348,2.54282542695918
"do","16",45,1.66275783168157
"doctor","16",30,1.49136169383427
"does","16",3,0.602059991327962
"dog","16",773,2.88874096068289
"doll","16",289,2.46239799789896
"donkey","16",373,2.57287160220048
"door","16",70,1.85125834871908
"down","16",313,2.49692964807321
"draw","16",432,2.63648789635337
"drawer","16",62,1.79934054945358
"dress","16",39,1.60205999132796
"drive","16",132,2.12385164096709
"dry","16",54,1.74036268949424
"duck","16",763,2.88309335857569
"each","16",2,0.477121254719662
"ear","16",316,2.50105926221775
"eat","16",256,2.40993312333129
"egg","16",143,2.15836249209525
"elephant","16",823,2.91592721169712
"empty","16",43,1.64345267648619
"every","16",2,0.477121254719662
"eye","16",4,0.698970004336019
"face","16",34,1.54406804435028
"fall","16",12,1.11394335230684
"fast","16",308,2.48995847942483
"feed","16",13,1.14612803567824
"feet","16",93,1.9731278535997
"fell","16",12,1.11394335230684
"fine","16",17,1.25527250510331
"finger","16",154,2.19033169817029
"finish","16",95,1.98227123303957
"first","16",5,0.778151250383644
"fit","16",3,0.602059991327962
"fix","16",12,1.11394335230684
"flower","16",588,2.7701152947871
"food","16",36,1.56820172406699
"foot","16",283,2.45331834004704
"for","16",4,0.698970004336019
"fork","16",786,2.89597473235906
"frog","16",145,2.16435285578444
"full","16",6,0.845098040014257
"garage","16",26,1.43136376415899
"garden","16",30,1.49136169383427
"gentle","16",235,2.37291200297011
"get","16",64,1.81291335664286
"giraffe","16",98,1.99563519459755
"girl","16",152,2.1846914308176
"give","16",148,2.17318626841227
"glass","16",590,2.77158748088126
"glasses","16",222,2.34830486304816
"go","16",319,2.50514997831991
"gonna","16",9,1
"good","16",101,2.00860017176192
"goose","16",56,1.75587485567249
"gotta","16",2,0.477121254719662
"grapes","16",84,1.92941892571429
"grass","16",54,1.74036268949424
"green","16",37,1.57978359661681
"gum","16",13,1.14612803567824
"hair","16",104,2.02118929906994
