"Age","Freq_100000w","Freq","No_of_transcripts","TotalFreq","Word","LogFreq"
"45.0","83","13","249","156558","dirty",1.14612803567824
"48.0","156","22","221","140589","dirty",1.36172783601759
"51.0","88","10","154","112895","dirty",1.04139268515823
"54.0","137","53","173","385725","dirty",1.73239375982297
"57.0","97","11","182","113300","dirty",1.07918124604762
"60.0","174","14","120","80352","dirty",1.17609125905568
"63.0","40","2","108","48940","dirty",0.477121254719662
"66.0","248","13","157","52266","dirty",1.14612803567824
"69.0","99","4","117","40283","dirty",0.698970004336019
"12","0","0","180","15597","empty",0
"15.0","119","4","87","33500","empty",0.698970004336019
"18.0","236","20","243","84684","empty",1.32221929473392
"21.0","121","20","297","164518","empty",1.32221929473392
"24.0","207","59","456","284427","empty",1.77815125038364
"27.0","86","35","616","402831","empty",1.55630250076729
"30.0","56","23","486","406497","empty",1.38021124171161
"33.0","66","22","361","332325","empty",1.36172783601759
"36.0","28","7","250","242145","empty",0.903089986991944
"39.0","47","9","236","189088","empty",1
"42.0","31","5","215","156791","empty",0.778151250383644
"45.0","70","11","249","156558","empty",1.07918124604762
"48.0","78","11","221","140589","empty",1.07918124604762
"51.0","26","3","154","112895","empty",0.602059991327962
"54.0","15","6","173","385725","empty",0.845098040014257
"57.0","17","2","182","113300","empty",0.477121254719662
"60.0","24","2","120","80352","empty",0.477121254719662
"63.0","20","1","108","48940","empty",0.301029995663981
"66.0","0","0","157","52266","empty",0
"69.0","0","0","117","40283","empty",0
"12","0","0","180","15597","fast",0
"15.0","0","0","87","33500","fast",0
"18.0","47","4","243","84684","fast",0.698970004336019
"21.0","103","17","297","164518","fast",1.25527250510331
"24.0","108","31","456","284427","fast",1.50514997831991
"27.0","176","71","616","402831","fast",1.85733249643127
"30.0","167","68","486","406497","fast",1.83884909073726
"33.0","108","36","361","332325","fast",1.56820172406699
"36.0","189","46","250","242145","fast",1.67209785793572
"39.0","275","52","236","189088","fast",1.72427586960079
"42.0","178","28","215","156791","fast",1.46239799789896
"45.0","217","34","249","156558","fast",1.54406804435028
"48.0","184","26","221","140589","fast",1.43136376415899
"51.0","310","35","154","112895","fast",1.55630250076729
"54.0","391","151","173","385725","fast",2.18184358794477
"57.0","211","24","182","113300","fast",1.39794000867204
"60.0","298","24","120","80352","fast",1.39794000867204
"63.0","286","14","108","48940","fast",1.17609125905568
"66.0","229","12","157","52266","fast",1.11394335230684
"69.0","223","9","117","40283","fast",1
"12","0","0","180","15597","fine",0
"15.0","0","0","87","33500","fine",0
"18.0","23","2","243","84684","fine",0.477121254719662
"21.0","18","3","297","164518","fine",0.602059991327962
"24.0","45","13","456","284427","fine",1.14612803567824
"27.0","111","45","616","402831","fine",1.66275783168157
"30.0","71","29","486","406497","fine",1.47712125471966
"33.0","108","36","361","332325","fine",1.56820172406699
"36.0","86","21","250","242145","fine",1.34242268082221
"39.0","100","19","236","189088","fine",1.30102999566398
"42.0","114","18","215","156791","fine",1.27875360095283
"45.0","185","29","249","156558","fine",1.47712125471966
"48.0","85","12","221","140589","fine",1.11394335230684
"51.0","106","12","154","112895","fine",1.11394335230684
"54.0","228","88","173","385725","fine",1.94939000664491
"57.0","141","16","182","113300","fine",1.23044892137827
"60.0","87","7","120","80352","fine",0.903089986991944
"63.0","102","5","108","48940","fine",0.778151250383644
"66.0","114","6","157","52266","fine",0.845098040014257
"69.0","223","9","117","40283","fine",1
"12","64","1","180","15597","first",0.301029995663981
"15.0","29","1","87","33500","first",0.301029995663981
"18.0","129","11","243","84684","first",1.07918124604762
"21.0","139","23","297","164518","first",1.38021124171161
"24.0","105","30","456","284427","first",1.49136169383427
"27.0","220","89","616","402831","first",1.95424250943932
"30.0","314","128","486","406497","first",2.11058971029925
"33.0","340","113","361","332325","first",2.05690485133647
"36.0","474","115","250","242145","first",2.06445798922692
"39.0","682","129","236","189088","first",2.11394335230684
"42.0","676","106","215","156791","first",2.02938377768521
"45.0","919","144","249","156558","first",2.16136800223497
"48.0","739","104","221","140589","first",2.02118929906994
"51.0","584","66","154","112895","first",1.82607480270083
"54.0","720","278","173","385725","first",2.4456042032736
"57.0","882","100","182","113300","first",2.00432137378264
"60.0","908","73","120","80352","first",1.86923171973098
"63.0","919","45","108","48940","first",1.66275783168157
"66.0","1052","55","157","52266","first",1.7481880270062
"69.0","1191","48","117","40283","first",1.69019608002851
"12","0","0","180","15597","full",0
"15.0","0","0","87","33500","full",0
"18.0","59","5","243","84684","full",0.778151250383644
"21.0","30","5","297","164518","full",0.778151250383644
"24.0","73","21","456","284427","full",1.34242268082221
"27.0","86","35","616","402831","full",1.55630250076729
"30.0","98","40","486","406497","full",1.61278385671974
"33.0","87","29","361","332325","full",1.47712125471966
"36.0","74","18","250","242145","full",1.27875360095283
"39.0","68","13","236","189088","full",1.14612803567824
"42.0","108","17","215","156791","full",1.25527250510331
"45.0","178","28","249","156558","full",1.46239799789896
"48.0","227","32","221","140589","full",1.51851393987789
"51.0","124","14","154","112895","full",1.17609125905568
"54.0","93","36","173","385725","full",1.56820172406699
"57.0","194","22","182","113300","full",1.36172783601759
"60.0","99","8","120","80352","full",0.954242509439325
"63.0","306","15","108","48940","full",1.20411998265592
